property_id,date_obtained,price,property_type,livable_area,heating_type,has_photovoltaic_panels,has_double_glazing,number_of_rooms,number_of_bathrooms,number_of_bedrooms,number_of_toilets,has_living_room,has_dining_room,has_attic,has_basement,has_terrace,terrace_surface,has_garden,garden_surface,energy_label,primary_energy_consumption,postal_code,latitude,longitude,year_built,building_condition,floor_number,total_floors,property_size,flood_zone_type,cadastral_income
11240905,18052024,367000,APARTMENT,94.0,,True,,4.0,1.0,2,,False,,,,True,16.0,,,,0.0,9032,51.0892012,3.6898356,,GOOD,,,,,0
11240905,16052024,367000,APARTMENT,94.0,,True,,4.0,1.0,2,,False,,,,True,16.0,,,,0.0,9032,51.0892012,3.6898356,,GOOD,,,,,0
11316438,18052024,229000,APARTMENT,78.0,,False,True,11.0,1.0,2,,True,,,,,,,,F,527.0,9032,51.0852052,3.7146622,1960.0,GOOD,,2.0,,,513
11316438,16052024,229000,APARTMENT,78.0,,False,True,11.0,1.0,2,,True,,,,,,,,F,527.0,9032,51.0852052,3.7146622,1960.0,GOOD,,2.0,,,513
11278535,18052024,425000,HOUSE,146.0,GAS,False,True,16.0,1.0,2,2.0,True,True,,True,True,,,,D,398.0,9000,51.0302236,3.7231436,1917.0,GOOD,,4.0,73.0,NON_FLOOD_ZONE,626
11278535,16052024,425000,HOUSE,146.0,GAS,False,True,16.0,1.0,2,2.0,True,True,,True,True,,,,D,398.0,9000,51.0302236,3.7231436,1917.0,GOOD,,4.0,73.0,NON_FLOOD_ZONE,626
11390454,18052024,525000,APARTMENT,200.0,GAS,,,,3.0,3,2.0,False,,,,True,25.0,,,B,104.0,9000,51.0428018,3.7022141,1970.0,TO_RENOVATE,,12.0,,,2174
11374246,18052024,230000,APARTMENT,109.0,,False,True,6.0,1.0,2,1.0,False,,,,,,,,E,459.0,9040,51.0649263,3.7610976,,,,2.0,,NON_FLOOD_ZONE,0
11374246,16052024,230000,APARTMENT,109.0,,False,True,6.0,1.0,2,1.0,False,,,,,,,,E,459.0,9040,51.0649263,3.7610976,,,,2.0,,NON_FLOOD_ZONE,0
11310969,18052024,435000,HOUSE,171.0,GAS,,True,,1.0,4,2.0,False,,True,,True,,,,A,100.0,9000,51.081105,3.7288718,2023.0,,,,172.0,NON_FLOOD_ZONE,570
11310969,16052024,435000,HOUSE,171.0,GAS,,True,,1.0,4,2.0,False,,True,,True,,,,A,100.0,9000,51.081105,3.7288718,2023.0,,,,172.0,NON_FLOOD_ZONE,570
11341155,18052024,465000,APARTMENT,95.0,GAS,False,True,8.0,1.0,2,1.0,True,,,,,,,,C,233.0,9000,51.0492116,3.7354136,1965.0,JUST_RENOVATED,,,,NON_FLOOD_ZONE,830
11341155,16052024,465000,APARTMENT,95.0,GAS,False,True,8.0,1.0,2,1.0,True,,,,,,,,C,233.0,9000,51.0492116,3.7354136,1965.0,JUST_RENOVATED,,,,NON_FLOOD_ZONE,830
11392136,18052024,990000,APARTMENT,212.0,GAS,False,True,,1.0,1,2.0,False,,,,,,,,A,91.0,9000,,,1913.0,AS_NEW,,3.0,,NON_FLOOD_ZONE,0
11378216,18052024,269000,HOUSE,124.0,GAS,,True,,1.0,3,1.0,True,,,True,True,,,,C,262.0,9000,51.0361063,3.7408812,1899.0,GOOD,,,53.0,,562
11378216,16052024,269000,HOUSE,124.0,GAS,,True,,1.0,3,1.0,True,,,True,True,,,,C,262.0,9000,51.0361063,3.7408812,1899.0,GOOD,,,53.0,,562
11151251,18052024,198000,HOUSE,100.0,FUELOIL,,,,,2,1.0,True,,,,True,14.0,True,70.0,F,817.0,9041,51.1027498,3.7725302,1933.0,TO_RENOVATE,,,183.0,NON_FLOOD_ZONE,287
