,property_id,date_obtained,price,livable_area,heating_type,has_photovoltaic_panels,has_double_glazing,number_of_bathrooms,number_of_bedrooms,number_of_toilets,has_living_room,has_attic,has_basement,has_terrace,terrace_surface,has_garden,garden_surface,energy_label,primary_energy_consumption,postal_code,latitude,longitude,year_built,building_condition,property_size,flood_zone_type,cadastral_income,age,price_sq,property_type_HOUSE
127285,11381184,2024-05-18,239.0,38.0,GAS,False,True,1.0,1.0,1.0,False,False,False,False,0.0,False,0.0,B,129.0,9000,51.0373716,3.7090845,,GOOD,,NON_FLOOD_ZONE,764.0,,6.2894736842105265,False
90084,11289701,2024-05-19,149.0,41.0,GAS,False,True,1.0,1.0,1.0,False,False,True,False,0.0,False,0.0,B,157.0,9040,51.058666,3.7444682,1968.0,AS_NEW,,NON_FLOOD_ZONE,630.0,56.0,3.6341463414634148,False
65363,11362761,2024-05-19,479.0,168.0,Unknown,False,True,2.0,4.0,2.0,False,False,False,True,18.0,True,131.0,A+,43.0,9032,51.0857731,3.7039566,2024.0,Unknown,332.0,NON_FLOOD_ZONE,1027.0,0.0,2.8511904761904763,True
65933,11374267,2024-05-19,189.0,30.0,Unknown,False,True,1.0,1.0,1.0,False,False,False,False,0.0,False,0.0,B,158.0,9000,51.0670799,3.7291675,,AS_NEW,,NON_FLOOD_ZONE,689.0,,6.3,False
88275,11348183,2024-05-19,229.0,40.0,GAS,False,True,1.0,2.0,1.0,False,False,False,False,0.0,False,0.0,B,190.0,9000,51.0335249,3.7131352,2010.0,Unknown,,NON_FLOOD_ZONE,644.0,14.0,5.725,False
42610,11181555,2024-05-19,219.0,60.0,GAS,False,True,1.0,2.0,1.0,False,False,False,False,0.0,False,0.0,C,208.0,9050,51.0432041,3.745374,,JUST_RENOVATED,,NON_FLOOD_ZONE,500.0,,3.65,False
58595,11152088,2024-05-19,248.0,78.0,GAS,False,True,1.0,1.0,1.0,True,False,True,True,7.0,False,0.0,C,242.0,9000,51.0503957,3.7335394,1920.0,GOOD,,NON_FLOOD_ZONE,652.0,104.0,3.1794871794871793,False
111525,11376255,2024-05-19,320.0,74.0,GAS,False,False,1.0,1.0,1.0,False,False,False,True,0.0,False,0.0,C,263.0,9000,51.0583631,3.7113069,1958.0,TO_RENOVATE,,NON_FLOOD_ZONE,884.0,66.0,4.324324324324325,False
100414,11358751,2024-05-19,449.0,139.0,GAS,True,True,1.0,3.0,2.0,True,False,False,False,0.0,False,0.0,B,114.0,9052,51.0134586,3.7048789,1900.0,JUST_RENOVATED,90.0,NON_FLOOD_ZONE,242.0,124.0,3.2302158273381294,True
26454,11348186,2024-05-19,575.0,203.0,GAS,False,True,2.0,4.0,3.0,False,False,True,False,0.0,True,25.0,B,134.0,9030,51.0713419,3.6935327,1955.0,JUST_RENOVATED,114.0,NON_FLOOD_ZONE,676.0,69.0,2.832512315270936,True
