property_id,date_obtained,price,property_type,livable_area,heating_type,has_photovoltaic_panels,has_double_glazing,number_of_rooms,number_of_bathrooms,number_of_bedrooms,number_of_toilets,has_living_room,has_dining_room,has_attic,has_basement,has_terrace,terrace_surface,has_garden,garden_surface,energy_label,primary_energy_consumption,postal_code,latitude,longitude,year_built,building_condition,floor_number,total_floors,property_size,flood_zone_type,cadastral_income
11367362,16052024,225000,APARTMENT,38.0,,,True,,1.0,1,1.0,False,,,,,,,,A,88.0,9000,51.0340716,3.7085203,,,,3.0,,,0
11367362,21052024,225000,APARTMENT,38.0,,,True,,1.0,1,1.0,False,,,,,,,,A,88.0,9000,51.0340716,3.7085203,,,,3.0,,,0
11367362,19052024,225000,APARTMENT,38.0,,,True,,1.0,1,1.0,False,,,,,,,,A,88.0,9000,51.0340716,3.7085203,,,,3.0,,,0
11374311,18052024,305000,APARTMENT,44.0,,True,True,6.0,1.0,1,1.0,True,,,,True,,,,A,,9000,51.0563179,3.7138562,2025.0,GOOD,,3.0,,,0
11374311,16052024,305000,APARTMENT,44.0,,True,True,6.0,1.0,1,1.0,True,,,,True,,,,A,,9000,51.0563179,3.7138562,2025.0,GOOD,,3.0,,,0
11374311,21052024,305000,APARTMENT,44.0,,True,True,6.0,1.0,1,1.0,True,,,,True,,,,A,,9000,51.0563179,3.7138562,2025.0,GOOD,,3.0,,,0
11374311,19052024,305000,APARTMENT,44.0,,True,True,6.0,1.0,1,1.0,True,,,,True,,,,A,,9000,51.0563179,3.7138562,2025.0,GOOD,,3.0,,,0
11341002,18052024,197500,APARTMENT,78.0,,True,,,1.0,2,1.0,False,,,,,,,,B,193.0,9032,51.0838134,3.7144456,1959.0,TO_RENOVATE,,,,,0
11341002,16052024,197500,APARTMENT,78.0,,True,,,1.0,2,1.0,False,,,,,,,,B,193.0,9032,51.0838134,3.7144456,1959.0,TO_RENOVATE,,,,,0
11341002,21052024,197500,APARTMENT,78.0,,True,,,1.0,2,1.0,False,,,,,,,,B,193.0,9032,51.0838134,3.7144456,1959.0,TO_RENOVATE,,,,,0
11341002,19052024,197500,APARTMENT,78.0,,True,,,1.0,2,1.0,False,,,,,,,,B,193.0,9032,51.0838134,3.7144456,1959.0,TO_RENOVATE,,,,,0
11361637,19052024,638000,APARTMENT,156.0,,True,True,4.0,,3,,False,,,,True,39.0,,,,,9820,50.9919919,3.7550965,2024.0,GOOD,,2.0,,NON_FLOOD_ZONE,0
11369491,18052024,537538,HOUSE,,,True,True,8.0,1.0,3,2.0,False,,,,,,,,,,9032,51.0837877,3.7042625,2024.0,,,,460.0,NON_FLOOD_ZONE,0
11369491,16052024,537538,HOUSE,,,True,True,8.0,1.0,3,2.0,False,,,,,,,,,,9032,51.0837877,3.7042625,2024.0,,,,460.0,NON_FLOOD_ZONE,0
11369491,21052024,537538,HOUSE,,,True,True,8.0,1.0,3,2.0,False,,,,,,,,,,9032,51.0837877,3.7042625,2024.0,,,,460.0,NON_FLOOD_ZONE,0
11369491,19052024,537538,HOUSE,,,True,True,8.0,1.0,3,2.0,False,,,,,,,,,,9032,51.0837877,3.7042625,2024.0,,,,460.0,NON_FLOOD_ZONE,0
11383577,19052024,250000,APARTMENT,88.0,GAS,False,True,1.0,,2,,False,,,,,,,,B,159.0,9000,51.0748673,3.7133242,,AS_NEW,,,,NON_FLOOD_ZONE,0
11255789,16052024,775000,HOUSE,218.0,GAS,,True,,2.0,3,2.0,False,,True,True,,,,,C,218.0,9031,51.0469191,3.6548144,1997.0,TO_BE_DONE_UP,,,37658.0,,1449
11314809,19052024,269000,HOUSE,110.0,,,True,1.0,1.0,4,1.0,True,,,,True,,,,E,460.0,9000,51.0720761,3.7063337,,,,,79.0,NON_FLOOD_ZONE,307
11341005,18052024,395000,APARTMENT,122.0,GAS,False,,,1.0,2,2.0,False,,,,,,,,A,98.0,9032,51.0796077,3.7094161,2010.0,AS_NEW,,,,,862
11341005,16052024,395000,APARTMENT,122.0,GAS,False,,,1.0,2,2.0,False,,,,,,,,A,98.0,9032,51.0796077,3.7094161,2010.0,AS_NEW,,,,,862
11341005,21052024,395000,APARTMENT,122.0,GAS,False,,,1.0,2,2.0,False,,,,,,,,A,98.0,9032,51.0796077,3.7094161,2010.0,AS_NEW,,,,,862
11341005,19052024,395000,APARTMENT,122.0,GAS,False,,,1.0,2,2.0,False,,,,,,,,A,98.0,9032,51.0796077,3.7094161,2010.0,AS_NEW,,,,,862
11331386,18052024,359000,HOUSE,137.0,GAS,True,True,,1.0,3,,False,,,,,,True,56.0,B,137.0,9032,51.0860815,3.7163062,1939.0,JUST_RENOVATED,,,135.0,,409
11331386,16052024,359000,HOUSE,137.0,GAS,True,True,,1.0,3,,False,,,,,,True,56.0,B,137.0,9032,51.0860815,3.7163062,1939.0,JUST_RENOVATED,,,135.0,,409
11331386,21052024,359000,HOUSE,137.0,GAS,True,True,,1.0,3,,False,,,,,,True,56.0,B,137.0,9032,51.0860815,3.7163062,1939.0,JUST_RENOVATED,,,135.0,,409
11331386,19052024,359000,HOUSE,137.0,GAS,True,True,,1.0,3,,False,,,,,,True,56.0,B,137.0,9032,51.0860815,3.7163062,1939.0,JUST_RENOVATED,,,135.0,,409
11374316,18052024,271000,HOUSE,37.0,,True,True,6.0,1.0,1,1.0,False,,,,,,,,A,,9000,51.0444333,3.7416781,2025.0,GOOD,,2.0,37.0,,0
11374316,16052024,271000,HOUSE,37.0,,True,True,6.0,1.0,1,1.0,False,,,,,,,,A,,9000,51.0444333,3.7416781,2025.0,GOOD,,2.0,37.0,,0
11374316,21052024,271000,HOUSE,37.0,,True,True,6.0,1.0,1,1.0,False,,,,,,,,A,,9000,51.0444333,3.7416781,2025.0,GOOD,,2.0,37.0,,0
11374316,19052024,271000,HOUSE,37.0,,True,True,6.0,1.0,1,1.0,False,,,,,,,,A,,9000,51.0444333,3.7416781,2025.0,GOOD,,2.0,37.0,,0
11368749,19052024,525000,APARTMENT,510.0,,,True,1.0,,6,,False,,,,,,,,F,581.0,9000,51.0810506,3.7279069,1963.0,GOOD,,3.0,,NON_FLOOD_ZONE,1378
11392865,18052024,499000,APARTMENT,180.0,GAS,,True,,1.0,3,2.0,False,,,,True,50.0,,,A,,9000,51.0778878,3.728665,2006.0,,,3.0,,NON_FLOOD_ZONE,0
11392865,21052024,499000,APARTMENT,180.0,GAS,,True,,1.0,3,2.0,False,,,,True,50.0,,,A,,9000,51.0778878,3.728665,2006.0,,,3.0,,NON_FLOOD_ZONE,0
11392865,19052024,499000,APARTMENT,180.0,GAS,,True,,1.0,3,2.0,False,,,,True,50.0,,,A,,9000,51.0778878,3.728665,2006.0,,,3.0,,NON_FLOOD_ZONE,0
11376819,18052024,370000,HOUSE,240.0,,False,,12.0,1.0,4,1.0,False,,True,,,,,,F,568.0,9031,51.0670778,3.6382128,1971.0,TO_RENOVATE,,,818.0,NON_FLOOD_ZONE,1408
11376819,16052024,370000,HOUSE,240.0,,False,,12.0,1.0,4,1.0,False,,True,,,,,,F,568.0,9031,51.0670778,3.6382128,1971.0,TO_RENOVATE,,,818.0,NON_FLOOD_ZONE,1408
11376819,21052024,370000,HOUSE,240.0,,False,,12.0,1.0,4,1.0,False,,True,,,,,,F,568.0,9031,51.0670778,3.6382128,1971.0,TO_RENOVATE,,,818.0,NON_FLOOD_ZONE,1408
11376819,19052024,370000,HOUSE,240.0,,False,,12.0,1.0,4,1.0,False,,True,,,,,,F,568.0,9031,51.0670778,3.6382128,1971.0,TO_RENOVATE,,,818.0,NON_FLOOD_ZONE,1408
11318268,19052024,499000,APARTMENT,125.0,GAS,False,True,1.0,1.0,1,1.0,True,True,,,True,,,,B,107.0,9000,51.0487895,3.732865,1967.0,AS_NEW,,,,NON_FLOOD_ZONE,0
10586450,19052024,575000,APARTMENT,85.0,,True,False,1.0,1.0,2,1.0,True,True,,,True,6.0,,,A,,9000,51.0506018,3.7204695,,,,,,NON_FLOOD_ZONE,0
11391287,19052024,225000,APARTMENT,106.0,GAS,,,,1.0,3,1.0,False,,,,,,,,B,166.0,9050,51.0355084,3.7372265,1968.0,TO_BE_DONE_UP,,14.0,,,1187
11278650,16052024,448299,HOUSE,,,True,,,1.0,3,1.0,False,,,,,,,,,,9031,51.0360074,3.6287544,2024.0,GOOD,,,686.0,NON_FLOOD_ZONE,0
11396002,18052024,375000,APARTMENT,94.0,GAS,,,,1.0,3,,False,,,,,,,,B,158.0,9000,51.0423089,3.7195356,1962.0,TO_BE_DONE_UP,,5.0,,,897
11396002,21052024,375000,APARTMENT,94.0,GAS,,,,1.0,3,,False,,,,,,,,B,158.0,9000,51.0423089,3.7195356,1962.0,TO_BE_DONE_UP,,5.0,,,897
11396002,19052024,375000,APARTMENT,94.0,GAS,,,,1.0,3,,False,,,,,,,,B,158.0,9000,51.0423089,3.7195356,1962.0,TO_BE_DONE_UP,,5.0,,,897
11369604,21052024,315000,APARTMENT,45.0,,True,True,6.0,1.0,1,1.0,False,,,,,,,,A,,9000,51.0563179,3.7138562,2025.0,GOOD,,3.0,,,0
